URL,RepoName,File,Module,LOC,MissingDefault,InconsistentNaming,ComplexExpression,DuplicateEntity,MisplacedAttribute,ImproperAlignment,InvalidProperty,IncompleteTasks,DeprecatedStatement,ImproperQuoteUsage,LongStatement,IncompleteConditional,UnguardedVariable
https://github.com/cloudwicklabs/ankus-modules,ankus-modules,C:\Users\chems\Puppeteer/repositories/cloudwicklabs/ankus-modules\utils\manifests\httpd.pp,C:\Users\chems\Puppeteer/repositories/cloudwicklabs/ankus-modules\utils,34,0,0,0,0,0,0,0,0,0,0,0,1,0
https://github.com/cohdjn/cisecurity,cisecurity,C:\Users\chems\Puppeteer/repositories/cohdjn/cisecurity\manifests\redhat6\filesystem.pp,C:\Users\chems\Puppeteer/repositories/cohdjn/cisecurity\manifests,1998,0,0,0,0,0,0,0,0,0,0,0,21,0
https://github.com/cohdjn/cisecurity,cisecurity,C:\Users\chems\Puppeteer/repositories/cohdjn/cisecurity\manifests\redhat6\services.pp,C:\Users\chems\Puppeteer/repositories/cohdjn/cisecurity\manifests,456,0,0,0,0,0,0,0,0,0,0,0,7,0
https://github.com/cohdjn/cisecurity,cisecurity,C:\Users\chems\Puppeteer/repositories/cohdjn/cisecurity\manifests\redhat7\filesystem.pp,C:\Users\chems\Puppeteer/repositories/cohdjn/cisecurity\manifests,2226,0,0,0,0,0,0,0,0,0,0,0,63,0
https://github.com/counsyl/puppet-sys,puppet-sys,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests\openbsd\disk.pp,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests,49,0,0,0,0,0,0,0,1,0,0,0,0,0
https://github.com/counsyl/puppet-sys,puppet-sys,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests\openbsd\interface.pp,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests,94,0,0,2,0,0,0,0,2,0,0,0,1,0
https://github.com/counsyl/puppet-sys,puppet-sys,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests\screen\params.pp,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests,25,0,0,1,0,0,0,0,1,0,0,0,2,0
https://github.com/counsyl/puppet-sys,puppet-sys,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests\solaris\publisher.pp,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests,67,0,0,1,0,0,0,0,1,0,0,0,3,0
https://github.com/counsyl/puppet-sys,puppet-sys,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests\ssh\service.pp,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-sys\manifests,21,0,0,1,0,0,0,0,1,0,0,0,4,0
https://github.com/counsyl/puppet-windows,puppet-windows,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-windows\manifests\firewall_rule.pp,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-windows\manifests,45,0,0,1,0,0,0,0,0,0,0,0,0,0
https://github.com/counsyl/puppet-windows,puppet-windows,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-windows\manifests\unzip.pp,C:\Users\chems\Puppeteer/repositories/counsyl/puppet-windows\manifests,24,0,0,2,0,0,0,0,0,0,0,0,0,0
https://github.com/craigwatson/puppet-vmwaretools,puppet-vmwaretools,C:\Users\chems\Puppeteer/repositories/craigwatson/puppet-vmwaretools\manifests\init.pp,C:\Users\chems\Puppeteer/repositories/craigwatson/puppet-vmwaretools\manifests,72,0,0,2,0,0,0,0,0,0,0,0,1,0
https://github.com/craigwatson/puppet-vmwaretools,puppet-vmwaretools,C:\Users\chems\Puppeteer/repositories/craigwatson/puppet-vmwaretools\manifests\install\archive.pp,C:\Users\chems\Puppeteer/repositories/craigwatson/puppet-vmwaretools\manifests,30,0,0,1,0,0,0,0,0,0,0,0,3,0
